iter	Logloss
0	0.6566503265
1	0.6259475504
2	0.5968966824
3	0.5656109093
4	0.537352812
5	0.5135000836
6	0.4888452092
7	0.4658165884
8	0.4488753718
9	0.4337883688
10	0.4156991514
11	0.4009060806
12	0.3866165808
13	0.3732793276
14	0.3621418687
15	0.3501028406
16	0.3394589455
17	0.3313079424
18	0.321971677
19	0.3143597711
20	0.3065660633
21	0.2997289119
22	0.2952334486
23	0.2876493102
24	0.2815462824
25	0.2745321512
26	0.2692892273
27	0.2640946347
28	0.2590012854
29	0.2547639954
30	0.250372773
31	0.2464093162
32	0.2423179128
33	0.2392527767
34	0.2360524892
35	0.2324830416
36	0.2296467413
37	0.2268526187
38	0.2225163111
39	0.2190496314
40	0.2154828508
41	0.2120371025
42	0.2094547515
43	0.207234853
44	0.2053921709
45	0.2034317387
46	0.2010841484
47	0.1986213479
48	0.1968890372
49	0.1942842413
50	0.1916798602
51	0.1895679642
52	0.1877244452
53	0.1856179311
54	0.1837171195
55	0.1817189133
56	0.1797830946
57	0.1777508002
58	0.1759569501
59	0.1740958545
60	0.1722865865
61	0.1704572129
62	0.1694056509
63	0.167635168
64	0.1666225221
65	0.1652147241
66	0.1636684364
67	0.1621826614
68	0.1610011543
69	0.1601178914
70	0.1585812963
71	0.1573377397
72	0.1558060027
73	0.1545883237
74	0.1535324858
75	0.1522152485
76	0.1513102501
77	0.1500652944
78	0.1484542656
79	0.1472044947
80	0.146302324
81	0.1453604376
82	0.1445000379
83	0.1436903912
84	0.1425046708
85	0.1412984823
86	0.140454494
87	0.1395873514
88	0.1380257066
89	0.1371516662
90	0.1364112313
91	0.1353537154
92	0.1344075025
93	0.1334164805
94	0.1324971343
95	0.1315835403
96	0.1308180349
97	0.1301324998
98	0.1290624587
99	0.1286027712
100	0.1281547464
101	0.1275915195
102	0.1268652773
103	0.126319561
104	0.1256090954
105	0.1250513317
106	0.1240559095
107	0.1233331649
108	0.1223084277
109	0.1218493835
110	0.1212164972
111	0.1207314234
112	0.1201038403
113	0.1189924032
114	0.1182305885
115	0.1175053964
116	0.1170936327
117	0.1164110542
118	0.1157812114
119	0.1153989029
120	0.114737258
121	0.1142516292
122	0.1134871468
123	0.1129188843
124	0.1125306421
125	0.1119067246
126	0.1109811493
127	0.1105223107
128	0.110194537
129	0.1098418365
130	0.1093681061
131	0.1088519152
132	0.108212554
133	0.1076885642
134	0.1071899749
135	0.1065541079
136	0.1061135605
137	0.105415496
138	0.1050985172
139	0.104330026
140	0.1040133862
141	0.1036299944
142	0.1029660451
143	0.1024729949
144	0.1017899037
145	0.1014223128
146	0.1008301122
147	0.1005294393
148	0.1000528393
149	0.09953173158
150	0.09921990547
151	0.09890663528
152	0.0985400419
153	0.09782267377
154	0.09722208404
155	0.09663615469
156	0.09612176604
157	0.09570863358
158	0.09532127328
159	0.09491536239
160	0.09451576272
161	0.09406019705
162	0.09349714092
163	0.09325728934
164	0.09283472975
165	0.09248930622
166	0.09226324675
167	0.09182784131
168	0.091501224
169	0.09114441962
170	0.09088875915
171	0.09053392047
172	0.09001167611
173	0.08972383511
174	0.0894278462
175	0.08921964857
176	0.08894222865
177	0.08871525772
178	0.08853103984
179	0.08817165956
180	0.08796356497
181	0.08774628404
182	0.08746397494
183	0.08726836962
184	0.08681517396
185	0.08651110607
186	0.08613600202
187	0.08593796465
188	0.08573076642
189	0.0855054364
190	0.08507431537
191	0.08491054393
192	0.08455704229
193	0.08434414802
194	0.08418004252
195	0.08383045461
196	0.08356249691
197	0.0830919922
198	0.08280081424
199	0.08247973593
200	0.08207559736
201	0.08192353798
202	0.08162608817
203	0.08144175564
204	0.08120884894
205	0.08085479039
206	0.08062833553
207	0.0804230107
208	0.08012122597
209	0.07999801386
210	0.07971642566
211	0.07929170353
212	0.07904460671
213	0.07884794082
214	0.07863199336
215	0.07851230074
216	0.07836193521
217	0.07801890603
218	0.07783281006
219	0.07753797563
220	0.07740789856
221	0.0771885911
222	0.07704818991
223	0.07669376171
224	0.07652201434
225	0.07624696829
226	0.07595800419
227	0.07565177057
228	0.07546865769
229	0.07533621104
230	0.07508483298
231	0.07478489295
232	0.07459603316
233	0.07440036154
234	0.07414390961
235	0.07396759186
236	0.07380940692
237	0.07357122128
238	0.07327548327
239	0.07299437845
240	0.07271759047
241	0.07256691394
242	0.07226011395
243	0.07206063042
244	0.0718216706
245	0.0716288924
246	0.07144261672
247	0.07123258731
248	0.07109720915
249	0.0709633593
250	0.07075844481
251	0.07061784436
252	0.07051835939
253	0.07030911293
254	0.07008897301
255	0.06998856422
256	0.06987014695
257	0.06969717737
258	0.06954188336
259	0.06944122614
260	0.06920266483
261	0.06897277432
262	0.06872633182
263	0.06854771745
264	0.06828049776
265	0.06806813688
266	0.06796781361
267	0.06779831066
268	0.06763725281
269	0.0674498921
270	0.06715336636
271	0.0670465653
272	0.06680736876
273	0.06663711567
274	0.06644539915
275	0.06629509324
276	0.06614098531
277	0.06600190949
278	0.06582411434
279	0.06561377941
280	0.06547588895
281	0.06529256352
282	0.06513953769
283	0.06493570597
284	0.06463120703
285	0.0643311082
286	0.06418017774
287	0.06401180749
288	0.06384235983
289	0.06356948315
290	0.06341461811
291	0.06334459461
292	0.06321099545
293	0.0630940163
294	0.06293241847
295	0.06275854723
296	0.06255031264
297	0.06245506936
298	0.0622831427
299	0.06216299397
300	0.0619833683
301	0.06178157692
302	0.06163234645
303	0.06149488877
304	0.06126652672
305	0.0611172321
306	0.06095664936
307	0.06078404673
308	0.06047750475
309	0.06033099051
310	0.06015974621
311	0.06004693721
312	0.0599397774
313	0.05979089601
314	0.05957986063
315	0.05944055126
316	0.05921642047
317	0.05904260342
318	0.05891472616
319	0.05867452795
320	0.05856692346
321	0.05845887413
322	0.05834082637
323	0.05810765845
324	0.05803105161
325	0.05788627738
326	0.05781672961
327	0.05773819094
328	0.057581184
329	0.05742746184
330	0.05731023677
331	0.05709710532
332	0.05692828579
333	0.05679590518
334	0.05665824722
335	0.05655467495
336	0.05645944886
337	0.05638261671
338	0.0562259602
339	0.05611085732
340	0.0560542797
341	0.05595700792
342	0.05578306595
343	0.05567936987
344	0.05556490367
345	0.05539823076
346	0.05523825789
347	0.05512088221
348	0.05499912606
349	0.05491677922
350	0.05481950928
351	0.05474076003
352	0.05463168444
353	0.05453964894
354	0.05445465344
355	0.0542745718
356	0.05416726929
357	0.0540148988
358	0.05393729488
359	0.05378932235
360	0.05371385315
361	0.05358209137
362	0.05351975966
363	0.05346536906
364	0.053334394
365	0.05311597683
366	0.05299854964
367	0.05286799624
368	0.0527095355
369	0.05253944473
370	0.05235475631
371	0.05229395093
372	0.05218535365
373	0.05210979872
374	0.05195531533
375	0.05186353963
376	0.05176033982
377	0.05163421212
378	0.05153324799
379	0.05131188905
380	0.05121803921
381	0.05110687746
382	0.05103058953
383	0.05087503273
384	0.05081360734
385	0.05067313722
386	0.05058982721
387	0.05043010114
388	0.05037416027
389	0.05025186066
390	0.05005430982
391	0.04993818665
392	0.04980538232
393	0.04964182706
394	0.04955384466
395	0.0494057096
396	0.04925196918
397	0.04915104113
398	0.04894393635
399	0.04880244871
400	0.04873484333
401	0.04863237651
402	0.04850922707
403	0.04845396835
404	0.04828650306
405	0.04814455996
406	0.04801092655
407	0.04792596776
408	0.04786935639
409	0.0477721786
410	0.0476839875
411	0.04755095545
